support,itemsets
0.6420243115852146,frozenset({'1'})
0.30042173158025304,frozenset({'2'})
0.4552220292731332,frozenset({'6'})
0.41056809724634086,frozenset({'10'})
0.24981394194988837,frozenset({'11'})
0.42818159265690897,frozenset({'16'})
0.20640039692384024,frozenset({'17'})
0.1672041677003225,frozenset({'19'})
0.3713718680228231,frozenset({'21'})
0.3202679235921608,frozenset({'25'})
0.1949888365169933,frozenset({'29'})
0.6378069957826842,frozenset({'32'})
0.3626891590176135,frozenset({'34'})
0.2991813445795088,frozenset({'36'})
0.34433143140659883,frozenset({'39'})
0.6167204167700322,frozenset({'47'})
0.549243363929546,frozenset({'50'})
0.24708509054825106,frozenset({'62'})
0.33391218060034733,frozenset({'70'})
0.18308112130984866,frozenset({'95'})
0.1629868518977921,frozenset({'101'})
0.3540064500124039,frozenset({'104'})
0.5678491689407095,frozenset({'110'})
0.43934507566360703,frozenset({'111'})
0.16844455470106673,frozenset({'112'})
0.2927313321756388,frozenset({'141'})
0.23269660133961795,frozenset({'145'})
0.6060530885636318,frozenset({'150'})
0.20218308112130984,frozenset({'151'})
0.1912676755147606,frozenset({'153'})
0.3252294715951377,frozenset({'161'})
0.31332175638799303,frozenset({'163'})
0.47829322748697595,frozenset({'165'})
0.2622178119573307,frozenset({'180'})
0.16695609030017367,frozenset({'185'})
0.1848176631108906,frozenset({'198'})
0.23368891094021335,frozenset({'208'})
0.4482758620689655,frozenset({'223'})
0.35921607541552963,frozenset({'231'})
0.3284544777970727,frozenset({'235'})
0.1783676507070206,frozenset({'247'})
0.45100471347060284,frozenset({'253'})
0.5604068469362441,frozenset({'260'})
0.2108657901265195,frozenset({'266'})
0.3535102952121062,frozenset({'288'})
0.30612751178367653,frozenset({'292'})
0.5284048623170429,frozenset({'293'})
0.5050855867030514,frozenset({'296'})
0.3264698585958819,frozenset({'300'})
0.37682957082609775,frozenset({'316'})
0.4909451748945671,frozenset({'318'})
0.1736541801041925,frozenset({'319'})
0.2371619945422972,frozenset({'329'})
0.17886380550731829,frozenset({'333'})
0.37087571322252544,frozenset({'337'})
0.2001984619201191,frozenset({'339'})
0.16149838749689904,frozenset({'342'})
0.35772761101463657,frozenset({'344'})
0.1639791614983875,frozenset({'345'})
0.3530141404118085,frozenset({'349'})
0.1949888365169933,frozenset({'350'})
0.3567353014140412,frozenset({'353'})
0.6214338873728603,frozenset({'356'})
0.4093277102455966,frozenset({'357'})
0.5502356735301414,frozenset({'364'})
0.39345075663607043,frozenset({'367'})
0.31580253038948153,frozenset({'368'})
0.1617464648970479,frozenset({'370'})
0.5289010171173406,frozenset({'377'})
0.5050855867030514,frozenset({'380'})
0.16571570329942942,frozenset({'410'})
0.2366658397419995,frozenset({'431'})
0.19523691391714215,frozenset({'434'})
0.30935251798561153,frozenset({'440'})
0.23492929794095757,frozenset({'442'})
0.3512775986107666,frozenset({'454'})
0.6564128007938477,frozenset({'457'})
0.17613495410568097,frozenset({'466'})
0.2674274373604565,frozenset({'471'})
0.36144877201686926,frozenset({'474'})
0.6712974448027784,frozenset({'480'})
0.2088811709253287,frozenset({'497'})
0.40511039444306624,frozenset({'500'})
0.40783924584470355,frozenset({'508'})
0.23368891094021335,frozenset({'509'})
0.2366658397419995,frozenset({'520'})
0.4710989828826594,frozenset({'527'})
0.2153311833291987,frozenset({'529'})
0.3589679980153808,frozenset({'539'})
0.5033490449020094,frozenset({'541'})
0.2088811709253287,frozenset({'543'})
0.18184073430910444,frozenset({'552'})
0.30315058298189035,frozenset({'553'})
0.3626891590176135,frozenset({'555'})
0.3701314810220789,frozenset({'586'})
0.3659141652195485,frozenset({'587'})
0.500868270900521,frozenset({'588'})
0.6432646985859588,frozenset({'589'})
0.48772016869263213,frozenset({'590'})
0.6206896551724138,frozenset({'592'})
0.638055073182833,frozenset({'593'})
0.32498139419498884,frozenset({'594'})
0.39940461423964274,frozenset({'595'})
0.40213346564128005,frozenset({'597'})
0.5609030017365418,frozenset({'608'})
0.26643512775986106,frozenset({'628'})
0.529893326717936,frozenset({'648'})
0.18878690151327215,frozenset({'653'})
0.18283304390969982,frozenset({'708'})
0.5150086827090052,frozenset({'733'})
0.29893326717936,frozenset({'736'})
0.21384271892830564,frozenset({'741'})
0.2547754899528653,frozenset({'745'})
0.3681468618208881,frozenset({'750'})
0.5289010171173406,frozenset({'778'})
0.4899528652939717,frozenset({'780'})
0.19002728851401637,frozenset({'784'})
0.21111386752666833,frozenset({'785'})
0.16472339369883404,frozenset({'788'})
0.20590424212354255,frozenset({'802'})
0.21557926072934755,frozenset({'805'})
0.2959563383775738,frozenset({'832'})
0.4001488464400893,frozenset({'858'})
0.16943686430166213,frozenset({'866'})
0.19027536591416522,frozenset({'899'})
0.21930042173158026,frozenset({'902'})
0.3237410071942446,frozenset({'903'})
0.36417762341850657,frozenset({'904'})
0.3162986851897792,frozenset({'908'})
0.23468122054080873,frozenset({'910'})
0.33688910940213346,frozenset({'912'})
0.195484991317291,frozenset({'914'})
0.43884892086330934,frozenset({'919'})
0.2505581741503349,frozenset({'920'})
0.31505829818903497,frozenset({'923'})
0.40833540064500123,frozenset({'924'})
0.3014140411808484,frozenset({'953'})
0.20317539072190524,frozenset({'968'})
0.19746961051848178,frozenset({'969'})
0.2158273381294964,frozenset({'1022'})
0.23914661374348797,frozenset({'1027'})
0.3138179111882907,frozenset({'1028'})
0.20739270652443562,frozenset({'1032'})
0.28404862317042917,frozenset({'1035'})
0.6596378069957827,frozenset({'1036'})
0.1848176631108906,frozenset({'1047'})
0.2580004961548003,frozenset({'1059'})
0.2736293723641776,frozenset({'1060'})
0.2436120069461672,frozenset({'1061'})
0.4502604812701563,frozenset({'1073'})
0.4899528652939717,frozenset({'1079'})
0.4681220540808732,frozenset({'1080'})
0.2307119821384272,frozenset({'1084'})
0.1639791614983875,frozenset({'1086'})
0.20218308112130984,frozenset({'1088'})
0.5752914909451748,frozenset({'1089'})
0.4857355494914413,frozenset({'1090'})
0.28801786157281073,frozenset({'1092'})
0.2500620193500372,frozenset({'1094'})
0.5797568841478541,frozenset({'1097'})
0.44132969486479784,frozenset({'1101'})
0.466881667080129,frozenset({'1127'})
0.23567353014140413,frozenset({'1129'})
0.5115355991069214,frozenset({'1136'})
0.29421979657653186,frozenset({'1148'})
0.17762341850657404,frozenset({'1175'})
0.24534854874720913,frozenset({'1183'})
0.5028528901017117,frozenset({'1193'})
0.5370875713222525,frozenset({'1196'})
0.44405854626643515,frozenset({'1197'})
0.5884395931530637,frozenset({'1198'})
0.30637558918382535,frozenset({'1199'})
0.5504837509302902,frozenset({'1200'})
0.34904490200942695,frozenset({'1201'})
0.28131977176879186,frozenset({'1203'})
0.23046390473827835,frozenset({'1204'})
0.4648970478789382,frozenset({'1206'})
0.2976928801786157,frozenset({'1207'})
0.4594393450756636,frozenset({'1208'})
0.6348300669808981,frozenset({'1210'})
0.4839990076903994,frozenset({'1213'})
0.5782684197469611,frozenset({'1214'})
0.3205160009923096,frozenset({'1215'})
0.42669312825601585,frozenset({'1219'})
0.44430662366658397,frozenset({'1220'})
0.37434879682460925,frozenset({'1221'})
0.5504837509302902,frozenset({'1222'})
0.2029273133217564,frozenset({'1223'})
0.4214835028528901,frozenset({'1225'})
0.25700818655420493,frozenset({'1228'})
0.2522947159513768,frozenset({'1230'})
0.2612255023567353,frozenset({'1233'})
0.33788141900272883,frozenset({'1234'})
0.16373108409823864,frozenset({'1235'})
0.672041677003225,frozenset({'1240'})
0.30042173158025304,frozenset({'1242'})
0.22699082113619448,frozenset({'1245'})
0.5355991069213595,frozenset({'1246'})
0.3760853386256512,frozenset({'1247'})
0.289258248573555,frozenset({'1249'})
0.2900024807740015,frozenset({'1250'})
0.31158521458695115,frozenset({'1252'})
0.1639791614983875,frozenset({'1253'})
0.16670801290002482,frozenset({'1257'})
0.5388241131232945,frozenset({'1258'})
0.5122798313073679,frozenset({'1259'})
0.22525427933515257,frozenset({'1261'})
0.3076159761845696,frozenset({'1262'})
0.29744480277846685,frozenset({'1263'})
0.6497147109898288,frozenset({'1265'})
0.4177623418506574,frozenset({'1266'})
0.21061771272637062,frozenset({'1267'})
0.6938724882163235,frozenset({'1270'})
0.20987348052592408,frozenset({'1271'})
0.23096005953857604,frozenset({'1274'})
0.34532374100719426,frozenset({'1275'})
0.27263706276358224,frozenset({'1276'})
0.3254775489952865,frozenset({'1278'})
0.26420243115852143,frozenset({'1285'})
0.2339369883403622,frozenset({'1287'})
0.3607045398164227,frozenset({'1288'})
0.6628628131977177,frozenset({'1291'})
0.25725626395435375,frozenset({'1293'})
0.3356487224013892,frozenset({'1302'})
0.3351525676010915,frozenset({'1304'})
0.42942197965765316,frozenset({'1307'})
0.277846688166708,frozenset({'1320'})
0.22426196973455717,frozenset({'1321'})
0.33738526420243115,frozenset({'1333'})
0.31481022078888615,frozenset({'1339'})
0.29670057057802035,frozenset({'1343'})
0.268171669560903,frozenset({'1345'})
0.20987348052592408,frozenset({'1347'})
0.1880426693128256,frozenset({'1350'})
0.3301910195981146,frozenset({'1356'})
0.19250806251550484,frozenset({'1357'})
0.3113371371868023,frozenset({'1358'})
0.43562391466137435,frozenset({'1370'})
0.19027536591416522,frozenset({'1372'})
0.32150831059290497,frozenset({'1374'})
0.18829074671297444,frozenset({'1375'})
0.25775241875465144,frozenset({'1376'})
0.3567353014140412,frozenset({'1377'})
0.3011659637806996,frozenset({'1380'})
0.5217067725130241,frozenset({'1387'})
0.3205160009923096,frozenset({'1391'})
0.5016125031009675,frozenset({'1393'})
0.37087571322252544,frozenset({'1394'})
0.3264698585958819,frozenset({'1396'})
0.3758372612255024,frozenset({'1407'})
0.3356487224013892,frozenset({'1408'})
0.3750930290250558,frozenset({'1466'})
0.16249069709749442,frozenset({'1479'})
0.36095261721657157,frozenset({'1485'})
0.40188538824113124,frozenset({'1500'})
0.5224510047134706,frozenset({'1517'})
0.5938972959563383,frozenset({'1527'})
0.24857355494914413,frozenset({'1544'})
0.3480525924088316,frozenset({'1552'})
0.19151575291490947,frozenset({'1569'})
0.41949888365169935,frozenset({'1573'})
0.6690647482014388,frozenset({'1580'})
0.4832547754899529,frozenset({'1584'})
0.19201190771520715,frozenset({'1587'})
0.26345819895807493,frozenset({'1597'})
0.3252294715951377,frozenset({'1608'})
0.5184817663110891,frozenset({'1610'})
0.5343587199206152,frozenset({'1617'})
0.49168940709501363,frozenset({'1625'})
0.36665839741999506,frozenset({'1639'})
0.4058546266435128,frozenset({'1641'})
0.3681468618208881,frozenset({'1645'})
0.5182336889109402,frozenset({'1653'})
0.4125527164475316,frozenset({'1673'})
0.3242371619945423,frozenset({'1674'})
0.38377573803026543,frozenset({'1676'})
0.18729843711237906,frozenset({'1680'})
0.6866782436120069,frozenset({'1682'})
0.21930042173158026,frozenset({'1690'})
0.6318531381791119,frozenset({'1704'})
0.4579508806747705,frozenset({'1721'})
0.26569089555941455,frozenset({'1722'})
0.3999007690399405,frozenset({'1729'})
0.47506822128504095,frozenset({'1732'})
0.30860828578516497,frozenset({'1747'})
0.40734309104440586,frozenset({'1748'})
0.360208385016125,frozenset({'1777'})
0.5375837261225502,frozenset({'1784'})
0.1939965269163979,frozenset({'1805'})
0.20243115852145868,frozenset({'1876'})
0.25725626395435375,frozenset({'1884'})
0.2046638551227983,frozenset({'1907'})
0.24857355494914413,frozenset({'1909'})
0.2555197221533118,frozenset({'1912'})
0.2979409575787646,frozenset({'1917'})
0.18308112130984866,frozenset({'1918'})
0.2862813197717688,frozenset({'1921'})
0.5561895311337137,frozenset({'1923'})
0.1917638303150583,frozenset({'1947'})
0.24882163234929297,frozenset({'1953'})
0.4710989828826594,frozenset({'1954'})
0.6368146861820888,frozenset({'1961'})
0.2505581741503349,frozenset({'1967'})
0.4961548002976929,frozenset({'1968'})
0.20168692632101215,frozenset({'1982'})
0.3071198213842719,frozenset({'1994'})
0.40734309104440586,frozenset({'1997'})
0.5462664351277599,frozenset({'2000'})
0.35772761101463657,frozenset({'2001'})
0.2121061771272637,frozenset({'2002'})
0.38551227983130737,frozenset({'2003'})
0.33639295460183577,frozenset({'2005'})
0.3009178863805507,frozenset({'2006'})
0.5090548251054329,frozenset({'2011'})
0.39667576283800543,frozenset({'2012'})
0.22128504093277102,frozenset({'2019'})
0.21136194492681717,frozenset({'2020'})
0.2247581245348549,frozenset({'2021'})
0.2527908707516745,frozenset({'2023'})
0.5968742247581246,frozenset({'2028'})
0.2200446539320268,frozenset({'2054'})
0.29025055817415035,frozenset({'2058'})
0.19598114611758868,frozenset({'2064'})
0.23914661374348797,frozenset({'2076'})
