movieId,title,genres
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
356,Forrest Gump (1994),Comedy|Drama|Romance|War
318,"Shawshank Redemption, The (1994)",Crime|Drama
110,Braveheart (1995),Action|Drama|War
527,Schindler's List (1993),Drama|War
150,Apollo 13 (1995),Adventure|Drama|IMAX
2858,American Beauty (1999),Comedy|Drama
590,Dances with Wolves (1990),Adventure|Drama|Western
608,Fargo (1996),Comedy|Crime|Drama|Thriller
858,"Godfather, The (1972)",Crime|Drama
2959,Fight Club (1999),Action|Crime|Drama|Thriller
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
2028,Saving Private Ryan (1998),Action|Drama|War
500,Mrs. Doubtfire (1993),Comedy|Drama
3578,Gladiator (2000),Action|Adventure|Drama
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
34,Babe (1995),Children|Drama
1721,Titanic (1997),Drama|Romance
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
1193,One Flew Over the Cuckoo's Nest (1975),Drama
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
539,Sleepless in Seattle (1993),Comedy|Drama|Romance
1704,Good Will Hunting (1997),Drama|Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
1221,"Godfather: Part II, The (1974)",Crime|Drama
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy
1213,Goodfellas (1990),Crime|Drama
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
454,"Firm, The (1993)",Drama|Thriller
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
